destination,origin,count
Venezuela,Colombia,79306
Estados Unidos de América,Colombia,33852
Brasil,Colombia,21246
México,Colombia,15484
Ecuador,Colombia,14949
Argentina,Colombia,13786
Perú,Colombia,11856
Chile,Colombia,11126
España,Colombia,10089
Panamá,Colombia,9881
Alemania,Colombia,4928
Francia,Colombia,4554
Países Bajos,Colombia,3666
Costa Rica,Colombia,3520
Reino Unido de Gran Bretaña e Irlanda del Norte,Colombia,3500
Italia,Colombia,3284
Canadá,Colombia,2935
El Salvador,Colombia,2319
Bolivia,Colombia,2092
Guatemala,Colombia,1901
República Dominicana,Colombia,1482
Uruguay,Colombia,1445
China,Colombia,1353
Suiza,Colombia,1233
Australia,Colombia,1187
Honduras,Colombia,1046
Israel,Colombia,1042
Bélgica,Colombia,951
Paraguay,Colombia,924
Cuba,Colombia,817
Portugal,Colombia,807
Japón,Colombia,762
República de Corea,Colombia,673
India,Colombia,627
República de Irlanda,Colombia,505
Austria,Colombia,502
Turquía,Colombia,495
Suecia,Colombia,443
Polonia,Colombia,433
Filipinas,Colombia,400
Federación de Rusia,Colombia,400
Nicaragua,Colombia,336
Noruega,Colombia,279
Nueva Zelanda,Colombia,279
Dinamarca,Colombia,270
Rumania,Colombia,178
República Checa,Colombia,168
Grecia,Colombia,133
Trinidad y Tobago,Colombia,130
Taiwán,Colombia,128
Croacia,Colombia,122
Hungría,Colombia,121
Sudáfrica,Colombia,109
Finlandia,Colombia,98
Eslovaquia,Colombia,93
Jamaica,Colombia,88
Indonesia,Colombia,78
Ucrania,Colombia,76
Bulgaria,Colombia,57
Lituania,Colombia,54
Singapur,Colombia,50
Malasia,Colombia,49
Guyana,Colombia,48
Egipto,Colombia,45
Líbano,Colombia,45
Marruecos,Colombia,39
Bahamas,Colombia,37
Surinam,Colombia,37
Emiratos Árabes,Colombia,34
Eslovenia,Colombia,33
Barbados,Colombia,30
Chipre,Colombia,26
Haití,Colombia,24
Kenia,Colombia,24
Letonia,Colombia,24
Pakistan,Colombia,24
Belice,Colombia,21
Estonia,Colombia,21
Irán,Colombia,20
Islandia,Colombia,20
Tailandia,Colombia,20
Malta,Colombia,19
Nigeria,Colombia,19
Jordania,Colombia,16
Vietnam,Colombia,15
Hong Kong,Colombia,14
Luxemburgo,Colombia,13
Serbia,Colombia,13
República de Belarús,Colombia,12
Dominica,Colombia,12
Túnez,Colombia,12
Arabia Saudita,Colombia,11
Santa Sede/Ciudad del Vaticano,Colombia,11
Nepal,Colombia,10
Uganda,Colombia,10
Andorra,Colombia,9
Islas Caimán/Territorio Británico de Ultramar,Colombia,9
Kazajistán,Colombia,9
Mauricio,Colombia,9
Argelia,Colombia,8
Ghana,Colombia,8
Omán,Colombia,8
Sri Lanka,Colombia,8
Azerbaiyán,Colombia,7
Santa Lucia,Colombia,7
Bangladesh,Colombia,6
Camboya,Colombia,6
República de Moldavia,Colombia,6
Montenegro,Colombia,6
Mozambique,Colombia,6
Tanzania,Colombia,6
Zimbabue,Colombia,6
Albania,Colombia,5
Bermudas/Territorio Británico de Ultramar,Colombia,5
Georgia,Colombia,5
Madagascar,Colombia,5
Rwanda,Colombia,5
Antigua y Barbuda,Colombia,4
República de Armenia,Colombia,4
Aruba,Colombia,4
Bosnia y Herzegovina,Colombia,4
República Democrática del Congo,Colombia,4
Granada,Colombia,4
Kuwait,Colombia,4
Macedonia,Colombia,4
Puerto Rico/Territorio de Estados Unidos,Colombia,4
San  Vicente y las Granadinas,Colombia,4
Zambia,Colombia,4
Cabo Verde,Colombia,3
Camerún,Colombia,3
Costa de Marfil,Colombia,3
Etiopia,Colombia,3
República de Kosovo,Colombia,3
Myanmar,Colombia,3
San Cristóbal y Nevis,Colombia,3
Angola,Colombia,2
Iraq,Colombia,2
República Democrática Popular  Lao,Colombia,2
Lesoto,Colombia,2
Liechtenstein,Colombia,2
Malawi,Colombia,2
Palestina,Colombia,2
Senegal,Colombia,2
Sierra Leona,Colombia,2
República Árabe Siria,Colombia,2
Afganistán,Colombia,1
Burkina Faso,Colombia,1
Bután,Colombia,1
República Del Congo,Colombia,1
Gabón,Colombia,1
Gambia,Colombia,1
Isla de Man,Colombia,1
Mónaco,Colombia,1
Namibia,Colombia,1
Papúa Nueva Guinea,Colombia,1
Qatar,Colombia,1
Samoa Occidental,Colombia,1
Santo Tomé y Príncipe,Colombia,1
Togo,Colombia,1
Tonga,Colombia,1
Vanuatu,Colombia,1
República Árabe de Yemen,Colombia,1
Islas Turcas y Caicos/Territorio Británico de Ultramar,Colombia,1
Refugiado,Colombia,6
Colombia,Estados Unidos de América,82135
Colombia,Panamá,40647
Colombia,España,31428
Colombia,México,28537
Colombia,Ecuador,21023
Colombia,Perú,11905
Colombia,Venezuela,10397
Colombia,Chile,8533
Colombia,Brasil,6595
Colombia,Aruba,6027
Colombia,El Salvador,5641
Colombia,Argentina,5373
Colombia,Francia,4195
Colombia,Canadá,4131
Colombia,República Dominicana,3887
Colombia,Reino Unido de Gran Bretaña e Irlanda del Norte,3643
Colombia,Alemania,3238
Colombia,Costa Rica,2500
Colombia,Países Bajos,1869
Colombia,Cuba,1675
Colombia,Turquía,1563
Colombia,Italia,1266
Colombia,Guatemala,979
Colombia,Bolivia,740
Colombia,Puerto Rico/Territorio de Estados Unidos,607
Colombia,Uruguay,600
Colombia,China,579
Colombia,Suiza,375
Colombia,Australia,369
Colombia,Paraguay,345
Colombia,Israel,223
Colombia,Honduras,221
Colombia,Portugal,208
Colombia,Federación de Rusia,155
Colombia,Emiratos Árabes,154
Colombia,Bélgica,151
Colombia,Japón,141
Colombia,Nicaragua,135
Colombia,Jamaica,105
Colombia,Suecia,90
Colombia,Trinidad y Tobago,82
Colombia,India,76
Colombia,Austria,74
Colombia,Hong Kong,73
Colombia,Curazao,59
Colombia,Noruega,42
Colombia,Nueva Zelanda,41
Colombia,Arabia Saudita,40
Colombia,Malta,38
Colombia,Tailandia,37
Colombia,Polonia,36
Colombia,Dinamarca,35
Colombia,República de Corea,33
Colombia,Egipto,31
Colombia,Grecia,30
Colombia,Líbano,26
Colombia,Barbados,25
Colombia,República Checa,21
Colombia,Hungría,21
Colombia,Sudáfrica,21
Colombia,Singapur,19
Colombia,Bahamas,17
Colombia,Belice,16
Colombia,República de Irlanda,16
Colombia,Qatar,15
Colombia,Turkmenistán,15
Colombia,Croacia,14
Colombia,Haití,14
Colombia,Ucrania,14
Colombia,Indonesia,13
Colombia,Argelia,12
Colombia,Vietnam,12
Colombia,Guyana,11
Colombia,Finlandia,10
Colombia,Luxemburgo,10
Colombia,Costa de Marfil,9
Colombia,Irán,9
Colombia,Marruecos,9
Colombia,Islandia,8
Colombia,Nigeria,8
Colombia,Kazajistán,6
Colombia,Omán,6
Colombia,Surinam,6
Colombia,Bermudas/Territorio Británico de Ultramar,5
Colombia,Kenia,5
Colombia,Taiwán,5
Colombia,Albania,4
Colombia,Bahréin,4
Colombia,Bulgaria,4
Colombia,Filipinas,4
Colombia,Guinea Ecuatorial,4
Colombia,Lituania,4
Colombia,Rumania,4
Colombia,Serbia,4
Colombia,Angola,3
Colombia,Bosnia y Herzegovina,3
Colombia,Islas Caimán/Territorio Británico de Ultramar,3
Colombia,Eslovenia,3
Colombia,Georgia,3
Colombia,Iraq,3
Colombia,Kuwait,3
Colombia,Malasia,3
Colombia,Mónaco,3
Colombia,Palestina,3
Colombia,San  Vicente y las Granadinas,3
Colombia,Afganistán,2
Colombia,Camerún,2
Colombia,Chipre,2
Colombia,Gibraltar/Territorio Británico de Ultramar,2
Colombia,Guadalupe/Territorio Francés,2
Colombia,Guayana Francesa/Departamento de Ultramar Francés,2
Colombia,Polinesia Francesa/Colectividad de Ultramar Francesa,2
Colombia,República Democrática Popular de Corea,2
Colombia,Sierra Leona,2
Colombia,Uzbekistán,2
Colombia,Islas Vírgenes Estadounidenses/Territorio de Estados Unidos,2
Colombia,Antigua y Barbuda,1
Colombia,República de Armenia,1
Colombia,Azerbaiyán,1
Colombia,Bangladesh,1
Colombia,República de Belarús,1
Colombia,Brunei Darussalam,1
Colombia,Camboya,1
Colombia,Eslovaquia,1
Colombia,Etiopia,1
Colombia,Guinea,1
Colombia,Isla de Man,1
Colombia,Letonia,1
Colombia,Maldivas,1
Colombia,Islas Marshall,1
Colombia,Mauricio,1
Colombia,Montenegro,1
Colombia,Nauru,1
Colombia,República CentroÁfricana,1
Colombia,Rwanda,1
Colombia,Santa Lucia,1
Colombia,Sudán,1
Colombia,República de Tayikistán,1
Colombia,Uganda,1
